,start_time,end_time,p_values
0,1238184014.9375,1238184024.0,1e-06
1,1238176530.304203,1238176537.558593,1.0
2,1238198056.747073,1238198066.205078,1.0
3,1238198327.129399,1238198335.152038,7e-06
4,1238197723.625002,1238197731.616333,1.0
5,1238175968.176755,1238175975.895263,1.0
6,1238199768.547848,1238199776.698242,1.0
9,1238177584.912113,1238177592.414062,0.982712
11,1238193036.988278,1238193044.05957,1.0
12,1238177950.67188,1238177958.277343,1.0
20,1238167625.856443,1238167633.394043,1.0
21,1238168892.61621,1238168899.804687,1.0
22,1238169124.890628,1238169133.148437,1.0
27,1238220273.496097,1238220282.432617,1e-06
28,1238241031.983402,1238241040.09375,1.0
31,1238245896.9531262,1238245905.055236,1.0
32,1238224076.3085968,1238224083.508789,1.0
33,1238237823.769536,1238237832.504394,0.039705
34,1238244859.349613,1238244867.842773,1.0
35,1238243215.126952,1238243223.957031,1.0
36,1238243384.140868,1238243391.737304,1.0
37,1238235255.337888,1238235264.213623,1e-06
38,1238235377.189756,1238235384.621582,1.0
39,1238272939.831052,1238272946.950195,1e-06
45,1238212532.49805,1238212540.0,0.918483
47,1238234597.281011,1238234604.616699,0.861857
48,1238233877.25,1238233884.293213,1e-06
49,1238202509.0,1238202520.385254,1e-06
50,1238202600.21362,1238202607.624511,0.000122
51,1238235774.75,1238235782.183593,1.0
52,1238236367.333987,1238236375.351074,1.0
54,1238241248.1484408,1238241256.063964,1.0
55,1238241470.384769,1238241477.71875,1.0
58,1238245239.0708039,1238245246.492187,0.519835
59,1238297210.7099638,1238297218.12207,0.000186
60,1238211785.9228559,1238211794.428711,0.268714
61,1238214704.219727,1238214712.0,1.0
62,1238206787.099241,1238206795.565429,0.99444
63,1238226179.0371141,1238226186.148437,1.0
64,1238246404.6296341,1238246412.054687,1.0
66,1238205330.877927,1238205338.934814,1.0
68,1238216643.43848,1238216651.006591,1e-06
69,1238210045.599606,1238210052.894531,1.0
72,1238214762.2539032,1238214769.949218,1.0
73,1238217049.084962,1238217056.926757,1.0
74,1238240084.943362,1238240092.472656,1.0
76,1238236096.270504,1238236104.323486,1.0
77,1238238181.026366,1238238189.0,1.0
78,1238207590.988281,1238207598.266601,1.0
79,1238204825.988645,1238204833.960205,0.0
80,1238228167.6735811,1238228174.892578,1.0
81,1238339328.0,1238339338.21997,0.001609
82,1238338987.166996,1238338995.614257,1.0
83,1238335866.0,1238335873.081054,0.679161
84,1238336064.541997,1238336073.215088,1.0
85,1238334939.62549,1238334950.405273,1.0
86,1238306596.558592,1238306605.160156,1.0
87,1238331737.287111,1238331749.774414,2.1e-05
88,1238388602.1005821,1238388609.194336,1.0
89,1238315949.0080621,1238315956.80664,1.0
90,1238316101.322267,1238316108.810547,1.0
91,1238316208.0507839,1238316215.321289,0.999907
92,1238341758.0576198,1238341765.935547,0.001709
93,1238308390.236578,1238308399.2229,1.0
94,1238334054.375,1238334065.042968,1.0
95,1238395522.444338,1238395529.652343,1.0
97,1238364019.177734,1238364026.615234,1.0
98,1238364452.9478118,1238364460.976562,1.0
99,1238335350.232908,1238335358.901367,0.00279
100,1238316323.703126,1238316330.942382,1.0
101,1238320701.6699238,1238320709.321289,1.0
102,1238320812.898563,1238320823.838623,1.0
103,1238321128.563473,1238321136.0,1.0
104,1238344651.5,1238344659.126953,0.983854
105,1238322297.358521,1238322304.36914,1.0
106,1238322329.095699,1238322338.560547,1.0
107,1238333460.49609,1238333468.162597,1.0
108,1238354816.985845,1238354824.985351,1e-06
110,1238393789.791019,1238393797.571777,1.0
111,1238325348.0,1238325358.623047,1.0
112,1238325366.2255871,1238325374.0,1.0
113,1238318611.210939,1238318620.264648,1.0
114,1238379205.409182,1238379212.512451,1.0
115,1238326155.365231,1238326163.277343,1.0
116,1238326247.916019,1238326259.76416,1e-06
117,1238358938.0480912,1238358946.224487,0.999996
118,1238382504.40723,1238382512.52771,1.0
119,1238366596.549192,1238366604.171081,1.0
120,1238380337.5029328,1238380345.642822,1.0
121,1238357773.962157,1238357782.805175,1e-06
122,1238358100.4326189,1238358109.074218,1.0
123,1238323020.8984408,1238323028.0,1.0
124,1238323223.130122,1238323233.204223,0.0
125,1238323321.647458,1238323329.572265,0.0
126,1238323541.757808,1238323549.195312,0.0
127,1238350226.606817,1238350235.943359,0.999962
128,1238316989.212651,1238316996.616211,0.056659
129,1238317296.768557,1238317304.305664,0.02462
130,1238317347.544918,1238317355.129882,1.0
131,1238310222.1386719,1238310229.586914,0.882203
132,1238310396.011715,1238310404.513183,1.0
133,1238310466.832031,1238310476.46875,1.0
134,1238325827.532713,1238325841.123535,1.0
135,1238321519.3584,1238321527.251098,1.0
136,1238318104.6875,1238318114.696045,1e-06
137,1238328227.464849,1238328237.1333,0.146462
138,1238378006.4664888,1238378013.625,0.004227
139,1238340554.9252882,1238340564.256347,1.0
140,1238336296.1601532,1238336303.30188,1.0
141,1238322717.383788,1238322725.03125,0.999991
142,1238367712.9121141,1238367720.644897,1e-06
143,1238368028.429684,1238368035.43164,1.0
144,1238310939.0,1238310948.666992,1e-06
145,1238310989.575195,1238310998.762695,1.0
146,1238367404.5878909,1238367411.675293,1.0
147,1238367411.6762729,1238367418.849609,1.0
148,1238344080.3125,1238344090.776367,0.041621
149,1238396205.2255821,1238396213.195312,1.0
150,1238331145.132815,1238331153.131836,1.0
151,1238331361.291992,1238331370.598632,1.0
152,1238326489.901371,1238326499.978515,1.0
153,1238319705.687503,1238319714.71875,0.000999
154,1238319745.8085961,1238319753.008789,1.0
155,1238303844.0273478,1238303851.152343,1.0
156,1238363410.0,1238363417.085937,0.106834
157,1238363684.740231,1238363694.621093,1.0
158,1238364615.5336928,1238364623.040039,1.0
159,1238334724.59375,1238334732.230468,1.0
160,1238339661.210935,1238339669.906738,1e-06
161,1238392153.128904,1238392160.222656,1.0
162,1238333650.543943,1238333659.478759,1.0
