,start_time,end_time,p_values
0,1368976608.662842,1368976615.858398,1.0
1,1368976632.453858,1368976639.895507,0.294674
2,1368977224.78125,1368977233.007324,1.0
3,1368979488.348633,1368979496.374511,0.0
4,1368980387.754395,1368980394.853515,0.0
5,1368980540.182373,1368980548.421142,1.0
6,1368980582.019532,1368980589.293457,1.0
7,1368981233.234864,1368981240.771484,0.760252
8,1368981587.467774,1368981594.800781,1.0
9,1368982042.463135,1368982050.820312,0.99997
10,1368982108.585328,1368982116.190429,0.174338
11,1368982452.519043,1368982460.464355,0.000139
12,1368982680.979004,1368982690.480957,0.0
13,1368983087.886719,1368983095.984863,1.0
14,1368983160.750489,1368983168.870605,1.0
15,1368983244.416993,1368983252.940429,0.0
16,1368983266.748536,1368983273.960937,0.0
17,1368983413.479981,1368983422.248413,0.0
18,1368983469.665039,1368983476.761047,0.0
19,1368983654.854248,1368983662.801147,0.0
20,1368983768.048828,1368983775.19226,0.0
21,1368983895.286988,1368983906.44873,0.0
22,1368983918.205078,1368983925.925781,0.0
23,1368984002.569336,1368984011.542968,0.0
24,1368984323.270996,1368984331.464843,0.0
25,1368984441.200196,1368984448.270507,0.0
26,1368984622.84375,1368984635.286438,0.0
27,1368984730.054444,1368984737.16809,0.0
28,1368985017.730957,1368985024.820312,0.0
29,1368985485.109375,1368985493.13562,0.0
30,1368985838.442383,1368985847.498047,0.0
31,1368985909.541016,1368985918.747314,1.0
32,1368986355.345703,1368986364.214843,0.0
33,1368986705.343628,1368986713.819336,1.0
34,1368987521.778565,1368987530.927246,1.0
35,1368988706.833985,1368988713.874023,1e-06
36,1368990717.34375,1368990726.425048,1.0
37,1368991190.536621,1368991197.949218,0.0
38,1368991759.125,1368991766.856445,0.0
39,1368992111.517395,1368992119.534179,0.0
40,1368992255.313965,1368992265.016113,0.0
41,1368993202.884278,1368993210.070312,0.0
42,1368993401.84375,1368993409.67749,0.0
43,1368993917.718262,1368993925.798828,0.0
44,1368994142.5625,1368994151.158447,0.0
45,1368994806.859375,1368994814.516357,0.0
46,1368994863.342286,1368994871.202636,0.0
47,1368996257.1875,1368996264.450195,0.0
48,1368996834.3125,1368996842.095214,0.0
49,1368997524.280762,1368997532.568359,0.0
50,1368998246.742188,1368998255.094238,0.0
51,1368998765.598145,1368998774.039062,0.0
52,1368998951.09375,1368998960.855957,0.0
53,1368999518.248047,1368999525.861328,0.0
54,1368999619.510987,1368999627.116211,0.0
55,1368999680.871094,1368999690.126953,0.0
56,1368999706.384278,1368999714.513183,0.0
57,1368999810.963868,1368999818.702636,0.0
58,1369000100.388672,1369000110.473144,1.0
59,1369000435.955078,1369000443.773437,1.0
60,1369000619.378907,1369000627.608886,1.0
61,1369001148.141602,1369001155.769531,0.0
62,1369001244.900391,1369001252.668823,1.0
63,1369001677.438355,1369001688.281738,0.0
64,1369002173.979981,1369002181.330078,0.015445
65,1369002222.86792,1369002231.507934,1e-06
66,1369002283.426758,1369002291.509765,0.047088
67,1369002787.972657,1369002796.154297,0.947528
68,1369003105.872559,1369003113.112304,0.636829
69,1369003373.848145,1369003384.359375,0.115374
70,1369003564.547364,1369003572.254638,1.0
71,1369003721.59668,1369003729.103515,1.0
72,1369004144.085938,1369004152.941406,0.012916
73,1369004208.764649,1369004216.683471,0.426171
74,1369004275.552735,1369004283.4458,1.0
75,1369005132.046875,1369005140.363037,1.0
76,1369005377.751953,1369005388.779297,0.207704
77,1369006159.329102,1369006166.444336,1.0
78,1369006190.810547,1369006197.869384,0.866937
79,1369006372.553711,1369006380.632812,1e-06
80,1369006964.404297,1369006971.696777,1.0
81,1369007591.98877,1369007600.725708,1.0
82,1369008365.371338,1369008372.5625,1.0
83,1369008974.90625,1369008982.5,1.0
84,1369009508.112305,1369009515.220459,0.893166
85,1369009737.637696,1369009748.10144,1.0
86,1369010229.867676,1369010237.541504,0.093678
