GPStime,snr,ifo,label
1243645823.146,10.26,L1,1080Lines
1243586559.137,11.944,L1,1080Lines
1248843684.681,8.488,L1,1080Lines
1246314144.063,12.84,L1,1080Lines
1252075134.94,9.385,L1,1080Lines
1250703026.84,9.741,L1,1080Lines
1250210253.564,8.865,L1,1400Ripples
1248097047.598,11.463,L1,1400Ripples
1240819629.173,8.339,L1,1400Ripples
1250127242.457,10.198,L1,1400Ripples
1248828340.494,9.584,L1,1400Ripples
1249349276.26,9.978,L1,1400Ripples
1251960360.041,8.282,L1,1400Ripples
1249510292.962,9.737,L1,1400Ripples
1246625853.262,8.388,L1,1400Ripples
1242195341.789,9.646,L1,1400Ripples
1250710153.87,14.61,L1,1400Ripples
1250261787.436,9.421,L1,1400Ripples
1250725135.967,18.063,L1,1400Ripples
1253175854.303,7.864,L1,1400Ripples
1247658456.51,14.018,L1,1400Ripples
1248055667.189,8.528,L1,1400Ripples
1253778990.564,10.405,L1,1400Ripples
1248500226.983,13.819,L1,1400Ripples
1249836714.14,10.358,L1,1400Ripples
1251774308.495,9.211,L1,1400Ripples
1251023717.287,9.307,L1,1400Ripples
1249254517.279,7.656,L1,1400Ripples
1241621652.564,9.37,L1,1400Ripples
1251782374.323,13.035,L1,1400Ripples
1251000551.613,7.873,L1,1400Ripples
1250312573.978,7.506,L1,1400Ripples
1249664850.759,12.654,L1,1400Ripples
1251624377.094,14.29,L1,1400Ripples
1250292493.24,15.907,L1,1400Ripples
1250191380.038,10.5,L1,1400Ripples
1249201672.167,12.988,L1,1400Ripples
1245537939.656,9.166,L1,1400Ripples
1247829455.405,8.304,L1,1400Ripples
1242912980.069,10.664,L1,1400Ripples
1249329277.076,8.726,L1,1400Ripples
1251179500.916,8.039,L1,1400Ripples
1252945557.235,9.711,L1,1400Ripples
1253607067.863,11.441,L1,1400Ripples
1249053390.095,9.068,L1,1400Ripples
1247832511.104,9.957,L1,1400Ripples
1249934477.664,8.593,L1,1400Ripples
1247698040.394,12.408,L1,1400Ripples
1250525024.266,10.8,L1,1400Ripples
1247699961.379,8.802,L1,1400Ripples
1243755303.125,7.698,L1,1400Ripples
1252636607.994,14.372,L1,1400Ripples
1250437587.234,8.609,L1,1400Ripples
1249207866.838,12.76,L1,1400Ripples
1243755521.533,14.876,L1,1400Ripples
1249665571.369,8.261,L1,1400Ripples
1252228073.266,12.234,L1,1400Ripples
1252238071.546,13.506,L1,1400Ripples
1244179388.064,10.234,L1,1400Ripples
1250262822.416,9.866,L1,1400Ripples
1251960585.226,9.954,L1,1400Ripples
1251408629.841,8.801,L1,1400Ripples
1249509821.248,10.006,L1,1400Ripples
1250491112.892,13.461,L1,1400Ripples
1249316196.609,11.549,L1,1400Ripples
1249337898.234,9.398,L1,1400Ripples
1251140541.542,11.231,L1,1400Ripples
1251517674.333,9.345,L1,1400Ripples
1248458934.086,9.661,L1,1400Ripples
1246888843.546,9.063,L1,1400Ripples
1250542358.407,8.593,L1,1400Ripples
1252262277.522,8.008,L1,1400Ripples
1249707157.596,14.68,L1,1400Ripples
1248213078.267,10.794,L1,1400Ripples
1245405185.536,7.973,L1,1400Ripples
1252035330.295,14.422,L1,1400Ripples
1248480996.986,10.375,L1,1400Ripples
1252808606.723,7.763,L1,1400Ripples
1248966884.777,7.566,L1,1400Ripples
1247754070.403,10.29,L1,1400Ripples
1246417541.289,7.799,L1,1400Ripples
1248708918.86,8.341,L1,1400Ripples
1250778246.875,10.884,L1,1400Ripples
1251830200.301,12.07,L1,1400Ripples
1242059170.077,9.473,L1,1400Ripples
1248447587.712,7.74,L1,1400Ripples
1247845497.798,13.378,L1,1400Ripples
1248743646.256,9.926,L1,1400Ripples
1240644015.24,11.358,L1,1400Ripples
1253864805.075,8.026,L1,1400Ripples
1249375397.654,10.619,L1,1400Ripples
1246336900.758,10.036,L1,1400Ripples
1249372202.89,8.921,L1,1400Ripples
1242830055.571,8.801,L1,1400Ripples
1251898510.355,7.819,L1,1400Ripples
1249312053.864,7.943,L1,1400Ripples
1250053006.026,12.576,L1,1400Ripples
1249719853.089,10.588,L1,1400Ripples
1251168256.505,17.444,L1,1400Ripples
1249629889.323,9.074,L1,1400Ripples
1249527561.692,10.142,L1,1400Ripples
